language,latitude,longitude,color,family,subgroup,country
Ixil [ixl],15.5,-91.2,#B34742,Mayan,Quiche-Mam,Guatemala
Jacaltec [jac],15.75,-91.75,#B24447,Mayan,Kanjobal-Chuj,Guatemala
Mam [mvc],15.25,-92,#AA483E,Mayan,Quiche-Mam,Guatemala
Tojolabal [toj],16.33,-91.5,#BF4F48,Mayan,Kanjobal-Chuj,Mexico
Tzotzil [tzc],16.7,-92.7,#A7482C,Mayan,Chol-Tzeltal,Mexico
Tz'utujil [tzj],14.5,-91.25,#BD4B3C,Mayan,Quiche-Mam,Guatemala
Yucatec [yua],21,-89,#AF4B5B,Mayan,Yucatecan,Mexico
Miskito [miq],14.1,-83.6,#5E8093,Misumalpan,,Nicaragua
Mixe [mco],17,-95.5,#935957,Totozoquean-Chitimacha,Totozoquean,Mexico
Zoque [zoh],17.3,-93.3,#746F6A,Totozoquean-Chitimacha,Totozoquean,Mexico
Mombum [mso],-8.167,139.083,#1D55B7,Trans New Guinea,Asmat-Kamoro,Indonesia
Monumbo [mxk],-4.25,145,#8541BC,Torricelli,Kombio-Arapesh,Papua New Guinea
Kanum [kcd],-8.583,140.75,#447C71,South New Guinea,West Morehead River,Indonesia
Morori [mok],-8.5,140.667,#627C82,Morori,,Indonesia
Yei [jei],-7.917,140.833,#3F7787,South New Guinea,Yei,Indonesia
Moseten [cas-2],-14.5,-68,#7E5249,Moseten,,Bolivia
Pirahã [myp],-7.33,-62,#6976C2,Mura,,Brazil
Alabama [akz],32.7,-86.1,#462BAE,Muskogean,Eastern,USA
Choctaw [cho],32.25,-88.5,#5F3BB0,Muskogean,Western,USA
Koasati [cku],34.83,-85.17,#4B49AE,Muskogean,Eastern,USA
Mikasuki [mik],32,-85,#3E43B8,Muskogean,Eastern,USA
Chipewyan [chp],59,-106,#8043B3,Dene-Yeniseic,Na-Dene,Canada
Chiricahua [apm],33.5,-108,#7741AF,Dene-Yeniseic,Na-Dene,USA
Hupa [hup],41.08,-123.67,#744C97,Dene-Yeniseic,Na-Dene,USA
Koyukon [koy],65,-155,#7241AB,Dene-Yeniseic,Na-Dene,USA
Navajo [nav],36.17,-108,#7C489A,Dene-Yeniseic,Na-Dene,USA
Sarcee [srs],52.5,-116,#715C98,Dene-Yeniseic,Na-Dene,Canada
Slavey [xsl],61.67,-114,#8058AA,Dene-Yeniseic,Na-Dene,Canada
Tanacross [tcb],63.5,-143.5,#7A3E96,Dene-Yeniseic,Na-Dene,USA
Tlingit [tli],57,-133,#4C5E73,Dene-Yeniseic,Na-Dene,USA
Nahali [nlx],24,77.5,#46C865,Nahali,,India
Avar [ava],42.54,46.7,#156C76,Nakh-Daghestanian,Avar-Andi,Russia
Bagulal [kva],42.56,46.17,#196A79,Nakh-Daghestanian,Avar-Andi,Russia
Godoberi [gdo],42.63,46.11,#2CAA7D,Nakh-Daghestanian,Avar-Andi,Russia
Hunzib [huz],42.16,46.23,#26946B,Nakh-Daghestanian,Tsezic,Russia
Tsez [ddo],42.2,45.95,#258580,Nakh-Daghestanian,Tsezic,Russia
Dargwa [dar],42.15,47.4,#166F79,Nakh-Daghestanian,Dargi,Russia
Lak [lbe],42.17,47.11,#439F67,Nakh-Daghestanian,Lak,Russia
Archi [aqc],42.07,46.86,#197385,Nakh-Daghestanian,Lezgic,Russia
Xinalug [kjj],41.18,48.13,#26917E,Nakh-Daghestanian,Khinalug,Azerbaijan
Lezgian [lez],41.58,47.78,#22A76F,Nakh-Daghestanian,Lezgic,Russia
Rutul [rut],41.61,47.31,#195F79,Nakh-Daghestanian,Lezgic,Russia
Tsakhur [tkr],41.65,47.16,#235B78,Nakh-Daghestanian,Lezgic,Russia
Udi [udi],41.08,47.47,#328C79,Nakh-Daghestanian,Lezgic,Azerbaijan
Chechen [che],43.13,45.54,#238472,Nakh-Daghestanian,Nakh,Russia
Ingush [inh],42.97,44.77,#23A178,Nakh-Daghestanian,Nakh,Russia
Tsova-Tush [bbl],42.5,45.5,#227D6E,Nakh-Daghestanian,Nakh,Russia
Mamainde [wmd],-13.5,-60,#664095,Nambikwara,,Brazil
Nambikwara [nab],-13,-59.5,#4A388B,Nambikwara,,Brazil
Natchez [ncz],31.75,-91.33,#5321AF,Natchez,,USA
Dongolawi [doo],18,32,#4E6E83,Nilo-Saharan,Nubian,Sudan
Doyayo [dow],8.67,13.08,#A54A8A,Niger-Kongo,Atlantic-Congo,Cameroon
Gbaya-Kara [gya],6,15,#D68FAA,Niger-Kongo,Atlantic-Congo,Central African Republic
Gbaya-Mbodomo [mdo],4.5,15,#BF7D7E,Niger-Kongo,Atlantic-Congo,Central African Republic
Linda [liy],6,21,#DF7BA2,Ubangian,Banda,Central African Republic
Mbum [mdd],7.8,13.1,#DC959E,Niger-Kongo,Atlantic-Congo,Cameroon
Mumuye_Zinna [mzm],8.75,11.5,#ECC7BF,Niger-Kongo,Atlantic-Congo,Nigeria
Mundang [mua],10.1,14.45,#C4638B,Niger-Kongo,Atlantic-Congo,Chad
Ngbaka [nga],4.25,21.17,#C09597,Niger-Kongo,Atlantic-Congo,Democratic Republic of the Congo
Nzakara [nzk],4.5,22.5,#E28195,Niger-Kongo,Atlantic-Congo,Central African Republic
Samba Leko [ndi],8.35,12.25,#BAA4B1,Niger-Kongo,Atlantic-Congo,Nigeria
Sango [sag],5,18,#DCB38F,Ubangian,Ngbandi,Central African Republic
Zande [zne],4,26,#8D6B6C,Niger-Kongo,Atlantic-Congo,Democratic Republic of the Congo
Babungo [bav],6.12,10.42,#D2A776,Niger-Kongo,Atlantic-Congo,Cameroon
Basaa [bas],5,10.15,#B63B6E,Niger-Kongo,Atlantic-Congo,Cameroon
Bembe [bmb],-4,14,#BA4678,Niger-Kongo,Atlantic-Congo,Democratic Republic of the Congo
Bobangi [bni],0,17.8,#CA4071,Niger-Kongo,Atlantic-Congo,Democratic Republic of the Congo
Bushong [buf],-4.67,21.3,#C83E72,Niger-Kongo,Atlantic-Congo,Democratic Republic of the Congo
ChiNyanja [nya],-15,35,#C13C7A,Niger-Kongo,Atlantic-Congo,Malawi
Duala [dua],4.3,9.8,#C05161,Niger-Kongo,Atlantic-Congo,Cameroon
Ewondo [ewo],4.5,12,#D74470,Niger-Kongo,Atlantic-Congo,Cameroon
Holoholo [hoo],-5.5,28.25,#C5456B,Niger-Kongo,Atlantic-Congo,Democratic Republic of the Congo
Kamba [kam],-2,38,#CB3F72,Niger-Kongo,Atlantic-Congo,Kenya
Gikuyu [kik],-0.75,36.75,#C33B73,Niger-Kongo,Atlantic-Congo,Kenya
Kiluba [lub],-8.5,26,#CC4674,Niger-Kongo,Atlantic-Congo,Democratic Republic of the Congo
KinyaRwanda [kin],-2,30,#B63E69,Niger-Kongo,Atlantic-Congo,Rwanda
Kongo [kng],-5,15,#DB4D64,Niger-Kongo,Atlantic-Congo,Democratic Republic of the Congo
Kwangari [kwn],-18.5,20,#C13F59,Niger-Kongo,Atlantic-Congo,Namibia
Lamba [lam],9.8,10.5,#C44C5C,Niger-Kongo,Atlantic-Congo,Zambia
Lingala [lin],1,18.5,#C03978,Niger-Kongo,Atlantic-Congo,Democratic Republic of the Congo
Lozi [loz],-15,23,#AD4165,Niger-Kongo,Atlantic-Congo,Zambia
LuGanda [lug],0.5,32.17,#B83267,Niger-Kongo,Atlantic-Congo,Uganda
Luvale [lue],-12,22,#C73263,Niger-Kongo,Atlantic-Congo,Angola
Maha [mew],10.67,11.7,#A6566C,Afro-Asiatic,Chadic,Nigeria
Makua [vmw],-15,38,#BA2F62,Niger-Kongo,Atlantic-Congo,Mozambique
Mambila [mzk],6.75,11.5,#DCB1A9,Niger-Kongo,Atlantic-Congo,Cameroon
Mambwe [mgr],-9,31,#C9417A,Niger-Kongo,Atlantic-Congo,Zambia
Mongo_Oli [lol],4.1,9.5,#D64171,Niger-Kongo,Atlantic-Congo,Cameroon
Mwera [mwe],-10,39,#C23F70,Niger-Kongo,Atlantic-Congo,Tanzania
Ndebele [nbl],-20,28.5,#AD3E76,Niger-Kongo,Atlantic-Congo,Zimbabwe
Ndonga [ndo],-18,17,#AB4558,Niger-Kongo,Atlantic-Congo,Namibia
Ndumu [nmd],-1.75,13.6,#CB5F8C,Niger-Kongo,Atlantic-Congo,Gabon
Nkore-Kiga [cgg],-0.92,29.83,#D0497B,Niger-Kongo,Atlantic-Congo,Uganda
Ntomba [nto],-1,18,#B4497B,Niger-Kongo,Atlantic-Congo,Democratic Republic of the Congo
Pare [asa],-4,36.5,#C8385F,Niger-Kongo,Atlantic-Congo,Tanzania
Ronga [rng],-26,32.5,#B04651,Niger-Kongo,Atlantic-Congo,Mozambique
Runyankore [nyn],-0.5,30.5,#CC4074,Niger-Kongo,Atlantic-Congo,Uganda
Nyoro [nyo],1.5,31,#C7456F,Niger-Kongo,Atlantic-Congo,Uganda
Sesotho [sot],-28,27,#BA445C,Niger-Kongo,Atlantic-Congo,South Africa
Shona [sna],-18,31,#B43D6D,Niger-Kongo,Atlantic-Congo,Zimbabwe
Sotho_South [sot-2],-30,28,#B63A69,Niger-Kongo,Atlantic-Congo,Lesotho
Swahili [swh],-6.5,39,#AB2E73,Niger-Kongo,Atlantic-Congo,Tanzania
SiSwati [ssw],-27,32,#A44453,Niger-Kongo,Atlantic-Congo,Swaziland
Tikar [tik],6,11.5,#D2A194,Niger-Kongo,Atlantic-Congo,Cameroon
Tiv [tiv],7.5,9,#BA9987,Niger-Kongo,Atlantic-Congo,Nigeria
Tonga [toi],-17,27,#C13B6E,Niger-Kongo,Atlantic-Congo,Zambia
Nen [baz],4.8,10.5,#9B3D7F,Niger-Kongo,Atlantic-Congo,Cameroon
Venda [ven],-23.5,30,#B43B68,Niger-Kongo,Atlantic-Congo,South Africa
Xhosa [xho],-33,28,#A64160,Niger-Kongo,Atlantic-Congo,South Africa
Yao [yao],-11.45,34,#CD416E,Niger-Kongo,Atlantic-Congo,Malawi
Zulu [zul],-30,30,#A63476,Niger-Kongo,Atlantic-Congo,South Africa
Efik [efi],4.92,8.5,#BC7871,Niger-Kongo,Atlantic-Congo,Nigeria
Kana [ogo],4.75,6.5,#B78A5B,Niger-Kongo,Atlantic-Congo,Nigeria
Obolo [ann],4.58,7.83,#C95F80,Niger-Kongo,Atlantic-Congo,Nigeria
Yoruba [yor],8,4.33,#D6AA8A,Niger-Kongo,Volta-Niger,Nigeria
Dogon [dbu],14.5,-2.5,#4B76A5,Niger-Kongo,Dogon,Mali
Busa [bqp],9.67,4,#ACC6C7,Mande,Eastern,Nigeria
Dan [dnj],7.5,-8,#8C799C,Mande,Eastern,Côte d'Ivoire
Bini_Edo [bin],6.42,5.83,#CD7593,Niger-Kongo,Atlantic-Congo,Nigeria
Degema [deg],4.75,6.75,#A15085,Niger-Kongo,Atlantic-Congo,Nigeria
Engenni [enn],5.17,6.38,#E3B294,Niger-Kongo,Atlantic-Congo,Nigeria
Dagaare [dga],11.5,-2.5,#BCB197,Niger-Kongo,Atlantic-Congo,Burkina Faso
Dagbani [dag],9.58,-0.5,#948390,Niger-Kongo,Atlantic-Congo,Ghana
Kabiye [kbp],7,1.15,#8151A8,Niger-Kongo,Atlantic-Congo,Togo
Koromfe [kfz],14.25,-0.92,#A46F74,Niger-Kongo,Atlantic-Congo,Burkina Faso
Mooré [mos],12.83,-1.25,#A1B09B,Niger-Kongo,Atlantic-Congo,Burkina Faso
Supyire [spp],11.5,-5.58,#94A768,Niger-Kongo,Atlantic-Congo,Mali
Igede [ige],7,8.17,#CDD4B7,Niger-Kongo,Volta-Niger,Nigeria
Igbo [ibo],6,7.33,#B67B8C,Niger-Kongo,Volta-Niger,Nigeria
Kolokuma [ijc],4.92,5.67,#46758B,Ijoid,Ijo,Nigeria
Duka [dud],11.17,5.08,#A29C87,Niger-Kongo,Atlantic-Congo,Nigeria
Moro [mor],11,30.17,#AF2974,Talodi-Heiban,Heiban,Sudan
Grebo [gry],5.3,-8,#917D73,Niger-Kongo,Atlantic-Congo,Liberia
Seme [sif],11,-5,#9CA6B7,Siamou,,Burkina Faso
Akan [aka],6.5,-1.25,#B363AC,Niger-Kongo,Atlantic-Congo,Ghana
Anyin [any],5.9,-2.9,#C57CA3,Niger-Kongo,Atlantic-Congo,Côte d'Ivoire
Baule [bci],7.5,-5,#B7919C,Niger-Kongo,Atlantic-Congo,Côte d'Ivoire
Ega [ega],5.5,-5.5,#9858A3,Niger-Kongo,Atlantic-Congo,Côte d'Ivoire
Ewe [ewe],6.1,1.18,#C17693,Niger-Kongo,Volta-Niger,Ghana
Fon Gbe [fon],6.42,2.17,#C89DAF,Niger-Kongo,Volta-Niger,Benin
Gã [gaa],5.67,-0.17,#A96F8E,Niger-Kongo,Atlantic-Congo,Ghana
Lelemi [lef],7.33,0.5,#B361A0,Niger-Kongo,Atlantic-Congo,Ghana
Nkonya [nko],7.2,0.2,#A3549B,Niger-Kongo,Atlantic-Congo,Ghana
Balanta [ble],12,-15,#B7247E,Niger-Kongo,Atlantic-Congo,Guinea-Bissau
Basari [bsc],12.25,-13,#BA246D,Niger-Kongo,Atlantic-Congo,Senegal
Diola [dyo],13,-16,#C92D6F,Niger-Kongo,Atlantic-Congo,Senegal
Fula [fuh],11.5,-12.5,#8C356D,Niger-Kongo,Atlantic-Congo,Guinea
Ndut [ndv],14.92,-16.92,#8B5D5C,Niger-Kongo,Atlantic-Congo,Senegal
Wolof [wol],15.25,-16.5,#DB5A55,Niger-Kongo,Atlantic-Congo,Senegal
Ebrie [igb],5.3,-4,#BE9CA0,Niger-Kongo,Atlantic-Congo,Côte d'Ivoire
Gwari [gby],9.5,7,#C67FA9,Niger-Kongo,Volta-Niger,Nigeria
Birom [bom],9.67,8.83,#F3809C,Niger-Kongo,Atlantic-Congo,Nigeria
Fyam [pym],9.65,9.25,#C75C84,Niger-Kongo,Atlantic-Congo,Nigeria
Jukun [jbu],6.92,10.42,#C3A0A8,Niger-Kongo,Atlantic-Congo,Nigeria
Kisi [kss],8.83,-10.17,#D06276,Niger-Kongo,Atlantic-Congo,Guinea
Temne [tem],8.67,-13.08,#AC756A,Niger-Kongo,Atlantic-Congo,Sierra Leone
Bambara [bam],12.5,-7.5,#849A80,Mande,Central-West,Mali
Kpelle [xpe],7,-10,#9A6C80,Mande,Central-West,Liberia
Mandinka [man],13,-15.67,#8A967E,Mande,Central-West,Senegal
Mandinka_Gambia [mnk],13,-15,#789D88,Mande,Central-West,Gambia
Maninka [emk],13,-10,#73A291,Mande,Central-West,Mali
Mende [men],8,-11.5,#938D8D,Mande,Central-West,Sierra Leone
Soninke [snk],14.45,-11.43,#949391,Mande,Northwest,Senegal
Susu [sus],10,-13,#8991B7,Mande,Central-West,Guinea
Vai [vai],7.05,-11.33,#AA96AF,Mande,Central-West,Liberia
Berta [wti],10.67,34.5,#75436D,Nilo-Saharan,Berta,Ethiopia
Bagirmi [bmi],10.2,17,#BB709E,Nilo-Saharan,Central_Sudanic,Chad
Bongo [bot],7.5,28,#E88E93,Nilo-Saharan,Central_Sudanic,Sudan
Mbai [myb],8,17.5,#A46EB4,Nilo-Saharan,Central_Sudanic,Chad
Sara-Ngambay [sba],8.67,16,#9E71AF,Nilo-Saharan,Central_Sudanic,Chad
Yulu [yul],8.5,25.25,#BE6AB2,Nilo-Saharan,Central_Sudanic,Sudan
Shatt [shj],10.75,29.75,#B45093,Nilo-Saharan,Dajuic,Sudan
Fur [fvr],13,25,#4B9784,Nilo-Saharan,Fur,Sudan
Ik [ikx],3.75,34.17,#717A53,Nilo-Saharan,Kuliak,Uganda
So [teu],2.5,34.75,#8B5E54,Nilo-Saharan,Kuliak,Uganda
Kunama [kun],14.5,37,#67648B,Nilo-Saharan,Kunama,Eritrea
Maba [mde],13.75,20.83,#4D5E98,Nilo-Saharan,Maban,Chad
Mangbetu [mdj],2.5,27,#A16C7D,Nilo-Saharan,Central_Sudanic,Democratic Republic of the Congo
Logbara [lgg],3.08,30.92,#8575AF,Nilo-Saharan,Central_Sudanic,Democratic Republic of the Congo
Madi [mhi],3.45,31.17,#A47FAF,Nilo-Saharan,Central_Sudanic,Uganda
Nara [nrb],16,37.5,#526785,Nara,,Eritrea
Bari [bfa],3.8,31,#D29180,Nilo-Saharan,Nilotic,South Sudan
Dinka [dip],8.5,28,#8E9479,Nilo-Saharan,Nilotic,South Sudan
Karimojong [kdj],3,34.17,#BD456E,Nilo-Saharan,Nilotic,Uganda
Lango [laj],2,33,#C24D63,Nilo-Saharan,Nilotic,Uganda
Luo [luo],-0.4,34.4,#BE2E5F,Nilo-Saharan,Nilotic,Kenya
Maasai [mas],-3,36,#8F344D,Nilo-Saharan,Nilotic,Tanzania
Nuer [nus],8.6,33.3,#7E5B72,Nilo-Saharan,Nilotic,Sudan
Sebei [kpz],1.33,34.58,#88247C,Nilo-Saharan,Nilotic,Uganda
Shilluk [shk],6.19,31.6,#A35176,Nilo-Saharan,Nilotic,Sudan
Turkana [tuv],3,35,#8E3874,Nilo-Saharan,Nilotic,Kenya
Nubian [kzh],12.5,31,#326F72,Nilo-Saharan,Nubian,Sudan
Nubian_Kunuz [kzh-2],23,33,#365B91,Nilo-Saharan,Nubian,Egypt
Nyimang [nyi],12.1,29.4,#446D86,Nilo-Saharan,Nyimang,Sudan
Kanuri [knc],11.25,14.25,#5A556F,Nilo-Saharan,Saharan,Cameroon
Tubu [tuq],21,17,#514A76,Nilo-Saharan,Saharan,Chad
Shabo [sbf],7.2,36.25,#427775,Shabo,,Ethiopia
Koyra Chiini [khq],16.75,3.5,#BF927E,Nilo-Saharan,Songhai,Mali
Zarma [dje],14,2,#AB9696,Nilo-Saharan,Songhai,Niger
Majang [mpe],7.6,34.95,#707953,Nilo-Saharan,Surmic,Ethiopia
Murle [mur],6,33.75,#91625E,Nilo-Saharan,Surmic,Sudan
Mursi [muz],5.58,36.08,#804D81,Nilo-Saharan,Surmic,Ethiopia
Sungor [sjg],13.8,21.5,#4E488F,Nilo-Saharan,Tamaic,Chad
Tama [tma],14.4,22,#317C84,Nilo-Saharan,Tamaic,Chad
Nimboran [nir],-3.083,140.167,#4E56CD,Trans New Guinea,Nimboran,Indonesia
Nivkh [niv],53.333,142,#5C7EAC,Chukotko-Kamchatkan,Nivkh,Russia
Abkhaz [abk],43,41.03,#554C7A,North-west Caucasus,Abaza-Abkhaz,Georgia
Adyghe [ady],44.1,39.08,#274B90,North-west Caucasus,Circassian,Russia
Kabardian [kbd],43.52,43.63,#343C8D,North-west Caucasus,Circassian,Russia
Ubykh [uby],43.6,39.73,#27457A,North-west Caucasus,Circassian,Russia
Oksapmin [opm],-5.225,142.23,#497389,Trans New Guinea,Oksapmin,Papua New Guinea
Alsea [aes],44.67,-123.93,#7D525C,Alsean,,USA
Coos [csz],43.5,-124.17,#734D3A,Coos,,USA
Siuslaw [sis],44,-124,#5F7B26,Oregon Coast,,USA
Mixtec [mim],17,-99,#CE6D51,Otomanguean,Mixtecan,Mexico
Otomi [otm],21,-99.5,#C96149,Otomanguean,Otopamean,Mexico
Mazatec [mau],18,-96.85,#BC246F,Otomanguean,Popolocan,Mexico
Chatino [ctp],16.5,-97.25,#CB5443,Otomanguean,Zapotecan,Mexico
Zapotec [zai],16.5,-95,#D13865,Otomanguean,Zapotecan,Mexico
Paez [pbb],3,-76,#257895,Paez,,Colombia
Amahuaca [amc],-10.8,-73.5,#2B44A6,Panoan,Main,Peru
Capanahua [kaq],-7,-74,#2C777A,Panoan,Main,Peru
Cashibo-Cacataibo [cbr],-9.1,-75.5,#37608B,Panoan,Main,Peru
Chacobo [cao],-12.25,-65,#5656C5,Panoan,Southern,Bolivia
Matís [mpq],-4.25,-70.15,#2E6AA5,Panoan,Northern,Peru
Matses [mcf],-4,-71.5,#543FAD,Panoan,Northern,Peru
Sharanahua [mcd],-11,-70,#486AAF,Panoan,Main,Peru
Shipibo [shp],-7,-75,#398491,Panoan,Main,Peru
Yaminahua [yaa],-8,-73,#4C6DAD,Panoan,Main,Brazil
Yagua [yad],-3.5,-72,#8A6163,Yagua,,Peru
Rumsen [css],36.55,-121.93,#676E38,Yok-Utian,Costanoan,USA
Mutsun [css-2],36.83,-121.5,#68703C,Yok-Utian,Costanoan,USA
Klamath [kla],42.5,-121.5,#4B772F,Oregon Penutian,,USA
Maidu [nmu],40,-120.67,#14856C,Maiduan,,USA
Nisenan [nsz],39.33,-120.83,#33978B,Maiduan,,USA
Miwok [skd],37.5,-120,#47723A,Miwok,Eastern,USA
Nez Perce [nez],46,-117,#56523B,Sahaptian,,USA
Sahaptin [uma],45.67,-120,#514B3F,Sahaptian,,USA
Gitksan [git],55.33,-127.75,#936261,Tsimshian,,Canada
Nisgha [ncg],55,-130,#A2515C,Tsimshian,,Canada
Sm'algyax [tsi],52.5,-129,#976054,Tsimshian,,USA
Patwin [wit],39,-122.33,#1F5D9C,Wintuan,,USA
Wintu [wit-2],41,-122.5,#3C5E87,Wintuan,,USA
Yokuts_Northern_Foothill [yok],36.58,-119.08,#4EB858,Yok-Utian,Yokuts,USA
Yawelmani [yok-2],35.3,-118.65,#5AB143,Yok-Utian,Yokuts,USA
Quechua_Cusco_ [quz],-13.5,-72,#258D69,Quechuan,II-C,Peru
Quechua_Huallaga [qvh],-6,-76,#308863,Quechuan,I,Peru
Quechua_Imbabura [qvi],0.33,-78.33,#32974F,Quechuan,II-B,Ecuador
Aiwoo [nfl],-10.5,166.5,#C93F92,Oceanic,TeMotu,Solomons
Vano [vnk],-11.667,166.75,#D48E99,Oceanic,TeMotu,Solomons
Piaroa [pid],5,-67,#3F7EA9,Sáliba-Piaroa,,Colombia
Sáliba [slc],6,-67.5,#5D6E91,Sáliba-Piaroa,,Colombia
Salinan [sln],36,-121,#6B315F,Salinan,,USA
Bella Coola [blc],52.5,-126.67,#A2414A,Salish,Bella Coola,Canada
Comox [coo],49.75,-125,#883C35,Salish,Coast,Canada
Halkomelem [hur],49.5,-121.85,#83253F,Salish,Coast,Canada
Squamish [squ],49.67,-123.17,#803F2D,Salish,Coast,Canada
Coeur d'Alene [crd],47.33,-117,#9A4258,Salish,Interior,USA
Lillooet [lil],50.75,-122,#9F3B2F,Salish,Interior,Canada
Shuswap [shs],52,-120,#7D483A,Salish,Interior,Canada
Thompson [thp],49,-122,#A33C2F,Salish,Interior,Canada
Anggor [agg],-3.667,141.167,#656ACB,Trans New Guinea,Border,Papua New Guinea
Dla [kbv],-3.7,142.05,#3868AE,Trans New Guinea,Border,Papua New Guinea
Sentani [set],-2.583,140.633,#524DAD,Trans New Guinea,Sentani,Indonesia
Tabla [tnm],-2.417,140.333,#3665B4,Trans New Guinea,Sentani,Indonesia
Ambulas [abt],-3.75,143.083,#2FB292,Sepik,Ndu,Papua New Guinea
Hanga Hundi [wos],-3.833,142.833,#269989,Sepik,Ndu,Papua New Guinea
Iatmul [ian],-4.25,143.25,#209B91,Sepik,Ndu,Papua New Guinea
Washkuk [kmo],-4.083,142.667,#59BB8A,Sepik,Nukuma,Papua New Guinea
Awtuw [kmn],-3.5,141.917,#4E8E9C,Sepik,Ram,Papua New Guinea
Alamblak [amp],-4.667,143.25,#605E72,Sepik,Sepik Hill,Papua New Guinea
Yessan-Mayo [yss],-4.083,142.583,#31C386,Sepik,Tama,Papua New Guinea
Abau [aau],-4,141.167,#8C98C3,Sepik,Abau,Papua New Guinea
Wogamusin [wog],-4.25,142.417,#6389BB,Sepik,Wogamusin-Chenapian,Papua New Guinea
Namia [nnm],-3.833,141.75,#6A8EB9,Sepik,Yellow River,Papua New Guinea
Bai [bca],26,100,#90C08D,Tibeto-Burman,Bai,China
Boro [brx],26.75,92,#23A58F,Tibeto-Burman,Bodo-Garo,India
Garo [grt],26,90,#549BA5,Tibeto-Burman,Bodo-Garo,India
Kokborok [trp],24.33,92.5,#2996AC,Tibeto-Burman,Bodo-Garo,India
Nocte [njb],27,95.5,#4692B0,Tibeto-Burman,Konyak,India
Athpare [aph],26.75,87.33,#30657C,Tibeto-Burman,Kiranti,Nepal
Belhare [byw],27,87.25,#1E569E,Tibeto-Burman,Kiranti,Nepal
Byansi [bee],30.17,80.5,#3AAE72,Tibeto-Burman,Western Himalayan,India
Camling [rab],27.3,86.8,#2E5696,Tibeto-Burman,Kiranti,Nepal
Chantyal [chx],28.75,83.5,#30CD8B,Tibeto-Burman,Bodic,Nepal
Chepang [cdm],28.05,83.92,#2A9990,Tibeto-Burman,Chepang,Nepal
Gurung [gvr],28.333,84.333,#4BB89E,Tibeto-Burman,Bodic,Nepal
Hayu [vay],27.25,86,#419388,Tibeto-Burman,Kiranti,Nepal
Kham [kgj],28.5,82.75,#227785,Tibeto-Burman,Kham,Nepal
Kinnauri [kfk],31.5,78.25,#359D5F,Tibeto-Burman,Western Himalayan,India
Ladakhi [lbj],34,78,#2E9CA7,Tibeto-Burman,Bodic,India
Limbu [lif],27.167,87.75,#3F7182,Tibeto-Burman,Kiranti,Nepal
Magar [mgp],28,83,#3E9D84,Tibeto-Burman,Magar,Nepal
Nar-Phu [npa],28.68,84.2,#41ACAA,Tibeto-Burman,Bodic,Nepal
Newari_Dolakha [new-2],27.58,86.667,#3BB691,Tibeto-Burman,Newaric,Nepal
Newar_Kathmandu [new],27.5,85.333,#37A18E,Tibeto-Burman,Newaric,Nepal
Sherpa [xsr],27.833,86.833,#52B7AA,Tibeto-Burman,Bodic,Nepal
Tamang [tge],27.67,85.5,#49C89B,Tibeto-Burman,Bodic,Nepal
Thakali [ths],28.75,83.69,#52B59E,Tibeto-Burman,Bodic,Nepal
Thangmi [thf],27.75,86,#2F9C81,Tibeto-Burman,Western Himalayan,Nepal
Lhasa_Tibetan [bod],29.65,91.14,#4CB4B3,Tibeto-Burman,Bodic,China
Tshangla [tsj],27.07,92,#3BBCB5,Tibeto-Burman,Bodic,Bhutan
Akha [ahk],20.3,99.6,#94CCBA,Tibeto-Burman,Lolo-Burmese,Thailand
Bisu [bii],19.75,100,#A7C9C8,Tibeto-Burman,Lolo-Burmese,Thailand
Burmese [mya],20,96,#61B3AD,Tibeto-Burman,Lolo-Burmese,Myanmar
Lahu [lhu],20.75,100.75,#9BBFB1,Tibeto-Burman,Lolo-Burmese,Myanmar
Lisu [lis],19.5,98.75,#8BC9AC,Tibeto-Burman,Lolo-Burmese,Myanmar
Maru [mhx],24.9,97.5,#8FC6AC,Tibeto-Burman,Lolo-Burmese,Myanmar
Cantonese [yue],22.333,114,#AADA82,Tibeto-Burman,Sinitic,China
Hakka [hak],24.25,116.5,#ACE375,Tibeto-Burman,Sinitic,China
Yunnan_Kunming [smm],24,102,#B2D47B,Tibeto-Burman,Sinitic,China
Mandarin_Beijing [cmn],40,116.75,#A1D67C,Tibeto-Burman,Sinitic,China
Jingpho [kac],28,98,#A2E7BA,Tibeto-Burman,Jingpho,Myanmar
Karen [bwe],17,98,#EAC4AF,Tibeto-Burman,Karen,Myanmar
Karen_Pho [pwo],14.333,98.3,#E1D9B9,Tibeto-Burman,Karen,Myanmar
Karen_Sgaw [ksw],16.9,94.9,#E9D7B2,Tibeto-Burman,Karen,Myanmar
Kayah Li [eky],19.89,98.34,#CCC2C5,Tibeto-Burman,Karen,Myanmar
Angami [njm],25.667,94.5,#8EBEDD,Tibeto-Burman,Kuki-Chin-Naga,India
Mongsen Ao [njo],27,95,#61AFBA,Tibeto-Burman,Kuki-Chin-Naga,India
Chin_Tiddim [ctd],23.333,93.667,#8BA8C5,Tibeto-Burman,Kuki-Chin-Naga,Myanmar
Hakha Lai [cnh],22.667,93.667,#7795AC,Tibeto-Burman,Kuki-Chin-Naga,Myanmar
Lotha [njh],26.5,94.25,#3A9C93,Tibeto-Burman,Kuki-Chin-Naga,India
Meitei [mni],24.75,94,#57979E,Tibeto-Burman,Meithei,India
